Client ID,Type,Status,Class Name,Start Datetime,Login Source,Membership Type,Location,Program Service,Counts Towards Membership Limits,Clients → Client Active,Class → Coach Name,Appointment Details - Appointment Booking → Provider Name
5220339,Classes,Attended,CrossFit: 12:30 PM,2024-05-07T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
5260520,Classes,Attended,CrossFit: 6:00 PM,2024-05-07T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Inactive,Amy Flynn,
5284672,Classes,Attended,CrossFit: 6:00 PM,2024-05-07T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Inactive,Amy Flynn,
5240419,Classes,Attended,CrossFit: 12:30 PM,2024-05-07T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
5251261,Classes,Attended,CrossFit: 6:00 PM,2024-05-07T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
5202848,Classes,Attended,CrossFit: 12:30 PM,2024-05-07T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
5161846,Classes,Attended,CrossFit: 6:00 PM,2024-05-07T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Inactive,Amy Flynn,
5047109,Classes,Attended,CrossFit: 6:00 PM,2024-05-07T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
5089689,Classes,Attended,CrossFit: 12:30 PM,2024-05-07T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Inactive,Jose Espejo,
5086474,Classes,Attended,CrossFit: 6:00 PM,2024-05-07T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Inactive,Amy Flynn,
2863359,Classes,Attended,CrossFit: 6:00 PM,2024-05-03T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
3812687,Classes,Attended,CrossFit: 5:30 AM,2024-05-03T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
4988491,Classes,Attended,CrossFit: 12:30 PM,2024-05-03T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
4975179,Classes,Attended,CrossFit: 5:30 AM,2024-05-03T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
4953131,Classes,Attended,CrossFit: 12:30 PM,2024-05-03T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
4988510,Classes,Attended,CrossFit: 6:00 PM,2024-05-03T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
5019142,Classes,Attended,CrossFit: 6:00 PM,2024-05-03T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
5009439,Classes,Attended,CrossFit: 6:00 PM,2024-05-03T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
4540340,Classes,Attended,CrossFit: 6:00 PM,2024-05-03T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
4571043,Classes,Attended,CrossFit: 6:00 PM,2024-05-03T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
4718475,Classes,Attended,CrossFit: 12:30 PM,2024-05-03T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Inactive,Amy Flynn,
4741583,Classes,Attended,CrossFit: 6:00 PM,2024-05-03T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
